road_name,ausrap_section_id,veh_str_rating_smoothed,survey_date,road_type,OBJECTID,SHAPE_Length
"0007221-SACKVILLE ST,ST JOHNS RD",1,3,20210927,Regional,277,4823.028536
"0007221-SACKVILLE ST,ST JOHNS RD",1,3,20210927,Regional,278,1918.617212
"0006002-M2 HILLS MOTORWAY, LANE COVE TUNNEL",1,3,20170206,State,279,12275.34857
0000010-PACIFIC HIGHWAY,15,3,20211115,State,280,17056.60382
"0000086-HONOUR AV,FEDERATION WAY",1,1,20160123,State,281,247.4826611
0000056-LACHLAN VALLEY WAY,2,2,20150218,State,282,11152.39106
"0000543-MILLWOOD RD,THE ROCK COLLINGULLIE RD,MUNDOWY LANE",2,2,20211029,Regional,283,11010.1677
0000309-JAMES RUSE DR,1,3,20161118,State,284,6039.651579
0000029-KAMILAROI HIGHWAY,2,2,20211102,State,285,17528.67864
"0000366-BOBBIN HEAD RD,KU RING GAI CHASE RD",1,4,20161201,State,286,240.326505
"0000080-KIDMAN WAY,MOSSGIEL RD,IRRIGATION WAY",1,2,20140923,State,287,5216.289272
"0002050-BELMORE RD N,BELMORE RD",1,4,20211005,Regional,288,1507.823092
0000021-COBB HIGHWAY,1,2,20140902,State,289,3657.393961
0000015-BARTON HIGHWAY,2,2,20151201,State,290,3547.938632
0000622-MT LINDESAY RD,1,2,20220528,Regional,291,3412.369275
0000286-KOSCIUSZKO RD,1,2,20140927,State,292,19609.70302
0000002-HUME HIGHWAY,2,2,20140918,State,293,3650.978971
"0000108-NELSON BAY RD,CORMORANT RD",1,2,20150108,State,294,5715.795525
"0000171-BUNNERONG RD,ANZAC PDE",1,3,20211009,Regional,295,2904.85017
0000314-SPRING DR,1,3,20160123,State,296,3581.694713
"0007153-QUAKERS HILL PWY,KNOX RD,FERRERS RD",1,4,20210923,Regional,297,240.9080054
"0000620-CAMDEN VALLEY WAY,REMEMBRANCE DVWY,CAMDEN BYPA",4,,20161104,State,298,361.6056346
0007709-GRAIN VALLEY RD,1,3,20220510,Regional,299,4347.513594
0000278-WEE JASPER RD,1,2,20211028,Regional,300,3548.016015
0000021-COBB HIGHWAY,1,3,20140902,State,301,45445.46476
"0000200-KING GEORGES RD,CENTENARY DR,HOMEBUSH BAY DR",3,4,20160222,State,302,121.0021985
0000154-THE NORTHERN ROAD,1,3,20161102,State,303,6763.338533
"0000190-SILVERWATER RD,ALFORDS POINT RD,NEW ILLAWARRA RD",1,3,20161109,State,304,4229.789468
"0000256-ABERCROMBIE RD,TARALGA RD",1,1,20211122,Regional,305,3644.933241
0000647-BRINGELLY RD,1,,20161103,State,306,7353.075252
"0000243-CANOLA WAY,NANGUS RD,GUNDAGAI RD",1,4,20211028,Regional,307,1224.421472
0000078-OLYMPIC HIGHWAY,3,2,20140926,State,308,4359.361493
"0007003-CHUTER AV,O'CONNELL ST",1,3,20211007,Regional,309,1211.20176
"0007777-SCENIC DR,MEMORIAL DR,FREDERICK ST",1,3,20220503,Regional,310,2269.203926
"0000079-BRAIDWOOD RD,GOULBURN RD",1,2,20151202,State,311,10673.45169
0000353-SAXA RD,1,2,20220201,Regional,312,3573.549708
0000508-HENRY LAWSON DRIVE,1,4,20160219,State,313,120.6156053
"0000663-BANGOR BYPA,RIVER RD",2,2,20161109,State,314,121.1005358
0000508-HENRY LAWSON DRIVE,1,4,20160219,State,315,241.5200953
0000011-OXLEY HIGHWAY,1,1,20201209,State,316,7029.200941
0000021-COBB HIGHWAY,1,3,20140902,State,317,28600.03037
0000002-HUME HIGHWAY,1,2,20140918,State,318,602.9916734
0000016-BRUXNER HIGHWAY,2,2,20140218,State,319,2166.676715
0000078-OLYMPIC HIGHWAY,2,2,20140926,State,320,5963.179955
"0007190-JUNCTION RD,BROUGHTON ST,ROSE PAYTEN DR",1,4,20210922,Regional,321,1210.998941
"0000057-GOLDFIELDS WAY, THE GIPPS WAY, FIFIELD RD, THE BOGAN WAY",1,4,20150219,State,322,970.5150859
"0000208-WOLLAR RD,BYLONG VALLEY WAY",1,3,20220208,Regional,323,3567.76496
0007608-BARELLAN RD,1,3,20211029,Regional,324,23699.2507
