"REPORT_ID","Suburb","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y"
"2021-15811-19/09/2025","GLENELG","CITY OF HOLDFAST BAY",2,1,0,0,1,2021,"April","Friday","11:45 am",50,"Sealed","Dry","Not Raining","Daylight","Right Turn",2,,,1320801.94,1664728.41
"2021-15814-19/09/2025","RISDON PARK SOUTH","PT.PIRIE CITY & DIST. COUNCIL",2,2,0,0,2,2021,"April","Friday","12:40 pm",50,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1278833.64,1862926.74
"2021-15818-19/09/2025","FULHAM GARDENS","CITY OF CHARLES STURT",2,1,0,0,1,2021,"April","Thursday","07:05 pm",60,"Sealed","Dry","Not Raining","Night","Rear End",1,,,1320638.79,1672315.31
"2021-15825-19/09/2025","KIDMAN PARK","CITY OF CHARLES STURT",2,1,0,0,1,2021,"April","Friday","08:27 am",40,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1321954.3,1672165.49
"2021-15840-19/09/2025","BURTON","CITY OF SALISBURY",4,1,0,0,1,2021,"April","Friday","05:42 pm",60,"Sealed","Dry","Not Raining","Night","Rear End",1,,,1330025.3,1690922.68
"2021-15842-19/09/2025","MEDINDIE","CITY OF PROSPECT",3,1,0,0,1,2021,"April","Friday","06:15 pm",60,"Sealed","Dry","Not Raining","Night","Rear End",1,,,1329445.09,1674242.44
"2021-15843-19/09/2025","HECTORVILLE","CC CAMPBELLTOWN.",2,1,0,0,1,2021,"April","Friday","06:55 pm",50,"Sealed","Dry","Not Raining","Night","Right Angle",2,,,1335013.46,1674350.85
"2021-15844-19/09/2025","COWANDILLA","CITY OF WEST TORRENS",2,1,0,0,1,2021,"April","Thursday","08:30 pm",50,"Sealed","Dry","Not Raining","Night","Hit Parked Vehicle",1,"Y",,1324838.2,1669824.72
"2021-15845-19/09/2025","ROSEWATER","CITY OF PORT ADELAIDE ENFIELD",2,1,1,0,0,2021,"April","Friday","07:20 pm",60,"Sealed","Dry","Not Raining","Night","Hit Pedestrian",2,"Y",,1322284.5,1678681.39
"2021-15846-19/09/2025","UNDALYA","CLARE AND GILBERT VALLEYS DISTRICT COUNCIL",1,1,0,0,1,2021,"April","Friday","05:37 pm",100,"Sealed","Dry","Not Raining","Night","Roll Over",1,,,1340121.08,1765869.25
"2021-15848-19/09/2025","PROSPECT","CITY OF PROSPECT",2,1,0,0,1,2021,"April","Friday","10:15 pm",60,"Sealed","Dry","Not Raining","Night","Rear End",2,,,1327980.19,1676420.45
"2021-15851-19/09/2025","ELIZABETH EAST","CITY OF PLAYFORD.",2,1,0,1,0,2021,"April","Friday","11:56 pm",50,"Unsealed","Dry","Not Raining","Night","Hit Fixed Object",1,"Y",,1336677.7,1692246.03
"2021-15852-19/09/2025","SALISBURY EAST","CITY OF SALISBURY",2,1,0,0,1,2021,"May","Saturday","01:10 am",80,"Sealed","Dry","Not Raining","Night","Hit Fixed Object",1,"Y",,1336484.3,1687422.12
"2021-15855-19/09/2025","GLENALTA","CC MITCHAM.",2,1,0,1,0,2021,"May","Saturday","08:05 am",60,"Sealed","Dry","Not Raining","Daylight","Side Swipe",1,,,1330327.97,1661234.62
"2021-15857-19/09/2025","OTTOWAY","CITY OF PORT ADELAIDE ENFIELD",2,1,0,0,1,2021,"May","Saturday","11:48 am",50,"Sealed","Dry","Not Raining","Daylight","Hit Parked Vehicle",1,,,1323179.75,1679457.15
"2021-15858-19/09/2025","ELIZABETH PARK","CITY OF PLAYFORD.",2,1,0,0,1,2021,"May","Saturday","11:20 am",80,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1335978.95,1693741.6
"2021-15862-19/09/2025","HILTON","CITY OF WEST TORRENS",2,1,0,0,1,2021,"April","Friday","06:34 am",60,"Sealed","Dry","Not Raining","Night","Rear End",2,,,1325772.77,1670183.84
"2021-15863-19/09/2025","AULDANA","CITY OF BURNSIDE",2,1,0,0,1,2021,"May","Saturday","02:10 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,,,1336455.5,1671045.01
"2021-15871-19/09/2025","MORPHETT VALE","CITY OF ONKAPARINGA",2,1,0,0,1,2021,"May","Saturday","04:34 pm",60,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",2,,,1320791.4,1648693.6
"2021-15877-19/09/2025","CUMBERLAND PARK","CC MITCHAM.",2,1,0,0,1,2021,"May","Saturday","07:45 pm",60,"Sealed","Dry","Not Raining","Night","Right Turn",1,,,1326683.7,1666184.46
